Date,Overall - Average basket value,Overall - Delivered orders,Overall - Sales,Cplus users - Average basket value,Cplus users - Delivered orders,Cplus users - Sales,New users - Average basket value,New users - Delivered orders,New users - Sales,Non-CPlus users - Average basket value,Non-CPlus users - Delivered orders,Non-CPlus users - Sales,Reactivated users - Average basket value,Reactivated users - Delivered orders,Reactivated users - Sales,Retained users - Average basket value,Retained users - Delivered orders,Retained users - Sales
2026-04-01,127,13,1652,127,13,1652,116,2,231,0,0,0,125,2,249,130,9,1172
2026-04-02,94,17,1600,95,15,1426,102,4,407,87,2,174,97,3,290,90,10,903
2026-04-03,131,10,1313,131,10,1313,122,3,368,0,0,0,160,2,319,125,5,626
2026-04-04,122,18,2199,122,18,2199,0,0,0,0,0,0,104,4,415,127,14,1784
2026-04-05,131,16,2100,131,16,2100,94,4,374,0,0,0,79,3,238,165,9,1488
2026-04-06,130,12,1561,130,12,1561,0,0,0,0,0,0,72,2,144,142,10,1417
2026-04-07,105,10,1053,105,10,1053,99,2,199,0,0,0,0,0,0,107,8,854
2026-04-08,170,16,2715,177,15,2651,139,3,418,63,1,63,241,5,1206,136,8,1090
2026-04-09,115,15,1721,115,15,1721,84,1,84,0,0,0,68,1,68,121,13,1569
2026-04-10,101,13,1317,103,12,1230,77,2,154,86,1,86,0,0,0,106,11,1163
2026-04-11,108,18,1952,108,18,1952,142,3,425,0,0,0,127,7,888,82,7,574
2026-04-12,105,19,1992,103,18,1860,114,3,341,132,1,132,146,3,438,93,13,1213
2026-04-13,116,16,1857,116,16,1857,147,1,147,0,0,0,95,5,477,123,10,1233
2026-04-14,141,11,1552,141,11,1552,465,1,465,0,0,0,68,1,68,113,9,1019
2026-04-15,93,16,1487,93,16,1487,68,1,68,0,0,0,103,2,206,93,13,1213
2026-04-16,106,13,1373,106,13,1373,137,3,412,0,0,0,68,1,68,99,9,893
2026-04-17,138,17,2350,143,16,2290,255,3,765,60,1,60,0,0,0,113,14,1585
2026-04-18,138,16,2215,138,16,2215,167,4,669,0,0,0,119,4,475,134,8,1071
2026-04-19,125,25,3113,125,25,3113,151,7,1060,0,0,0,119,2,238,113,16,1816
2026-04-20,107,18,1927,107,18,1927,71,4,282,0,0,0,86,2,172,123,12,1472
2026-04-21,114,16,1828,118,15,1765,264,2,527,63,1,63,84,3,253,95,11,1048
2026-04-22,127,13,1648,132,12,1584,0,0,0,63,1,63,74,2,148,136,10,1358
2026-04-23,131,19,2486,131,19,2486,112,3,335,0,0,0,296,2,592,111,14,1559
2026-04-24,153,14,2139,153,14,2139,120,5,598,0,0,0,86,1,86,182,8,1454
2026-04-25,123,24,2961,123,24,2961,152,5,759,0,0,0,79,6,476,133,13,1725
2026-04-26,110,19,2092,113,18,2029,89,4,355,63,1,63,114,2,228,116,13,1509
2026-04-27,143,15,2145,149,14,2082,223,3,669,63,1,63,152,4,609,108,8,867
2026-04-28,101,18,1818,101,18,1818,141,3,424,0,0,0,95,5,475,92,10,918
2026-04-29,114,15,1711,105,14,1476,239,2,477,235,1,235,110,1,110,94,12,1124
2026-04-30,113,14,1583,113,14,1583,0,0,0,0,0,0,124,3,371,110,11,1212
